date,ship_type_id,estimated_hull_value,n_materials_total,n_materials_priced,losses,pct_value_priced
2011-01-01,16238,664844.61,7,7,48,1
2011-01-01,16240,630751.29,6,6,58,1
2011-01-01,16242,506629.77,6,6,99,1
2011-01-01,16631,809500,2,2,3,1
2011-01-01,16688,1745607.65,3,3,10,1
2011-01-01,16689,4874146.91,4,4,1,1
2011-01-01,16691,1744604.94,3,3,2,1
2011-01-01,16696,818761.55,2,2,6,1
2011-01-01,16697,1655497.34,3,3,2,1
2011-01-01,16869,8218759.27,9,9,1,1
2011-01-01,17167,803600,2,2,6,1
2011-01-01,17168,1736067.06,3,3,7,1
2011-01-01,17174,1866031.63,3,3,6,1
2011-01-01,17175,1815196.94,3,3,3,1
2011-01-01,17176,1814288.95,3,3,6,1
2011-01-01,17177,1815598.93,3,3,8,1
2011-01-01,17178,1818444.16,3,3,5,1
2011-01-01,17181,1825466.95,3,3,11,1
2011-01-01,17182,1835470.91,3,3,4,1
2011-01-01,17184,2269541.32,4,4,6,1
2011-01-01,17185,2459651.39,4,4,8,1
2011-01-01,17186,2459651.39,4,4,8,1
2011-01-01,17187,2459651.39,4,4,12,1
2011-01-01,17406,2959595.99,4,4,9,1
2011-01-01,17407,1719496.33,3,3,22,1
2011-01-01,17408,801001.15,2,2,12,1
2011-01-01,17476,16938642.95,7,7,11,1
2011-01-01,17478,14397714.65,7,7,48,1
2011-01-01,17480,11857185.91,7,7,7,1
2011-01-01,17619,232469.61,7,7,13,1
2011-01-01,17621,2507676.49,6,6,19,1
2011-01-01,17634,6640830.94,7,7,1,1
2011-01-01,17636,105761805.03,7,7,4,1
2011-01-01,17703,228612.06,7,7,19,1
2011-01-01,17709,6483803.56,7,7,1,1
2011-01-01,17713,6548647.82,7,7,3,1
2011-01-01,17715,6183286.25,7,7,4,1
2011-01-01,17718,6183286.25,7,7,2,1
2011-01-01,17720,6183286.25,7,7,12,1
2011-01-01,17726,104553641.62,7,7,1,1
2011-01-01,17728,105322579.8,7,7,2,1
2011-01-01,17732,104964623.38,7,7,1,1
2011-01-01,17736,83976027.84,7,7,2,1
2011-01-01,17738,83976027.84,7,7,4,1
2011-01-01,17740,83976027.84,7,7,1,1
2011-01-01,17770,2952903.4,4,4,11,1
2011-01-01,17771,1699064.4,3,3,12,1
2011-01-01,17772,799511.09,2,2,14,1
2011-01-01,17812,230525.86,7,7,9,1
2011-01-01,17841,255372.8,7,7,10,1
2011-01-01,17843,6476524.45,7,7,3,1
2011-01-01,17918,83976027.84,7,7,2,1
2011-01-01,17924,249885.85,6,6,1,1
2011-01-01,17928,244040.4,7,7,10,1
2011-01-01,17930,220029.22,7,7,1,1
2011-01-01,17932,244976.81,7,7,61,1
2011-01-01,19722,1372500139.07,11,11,1,1
2011-01-01,19744,621661.28,7,7,11,1
2011-01-01,20060,40907679.99,9,9,3,1
2011-01-01,20062,40907679.99,9,9,1,1
2011-01-01,20063,88332399.96,9,9,2,1
2011-01-01,20064,40907679.99,9,9,3,1
2011-01-01,20065,88332399.96,9,9,3,1
2011-01-01,20066,40907679.99,9,9,4,1
2011-01-01,20125,103058505.1,11,11,24,1
2011-01-01,20175,2635286.22,6,6,3,1
2011-01-01,20185,789923959.54,4,4,2,1
2011-01-01,20187,792059442.88,4,4,3,1
2011-01-01,22440,560513820.94,12,12,1,1
2011-01-01,22444,224730102.71,11,11,9,1
2011-01-01,22446,195444709.59,11,11,3,1
2011-01-01,22448,198651884.53,11,11,6,1
2011-01-01,22452,27888623.99,11,11,17,1
2011-01-01,22456,31554458.31,11,11,69,1
2011-01-01,22460,26567064.73,11,11,16,1
2011-01-01,22464,28407950.63,11,11,20,1
2011-01-01,22466,181279849.34,11,11,9,1
2011-01-01,22468,220738095.71,11,11,1,1
2011-01-01,22470,203138117.1,11,11,8,1
2011-01-01,22474,194151363.98,11,11,7,1
2011-01-01,22544,143115367.41,11,11,46,1
2011-01-01,22546,90903042.57,11,11,1,1
2011-01-01,22548,112251096.89,11,11,8,1
2011-01-01,23757,695839740.7,12,12,2,1
2011-01-01,23911,781277088.62,12,12,10,1
2011-01-01,23915,671940338.45,12,12,3,1
2011-01-01,24567,43649720.07,9,9,1,1
2011-01-01,24574,43649720.07,9,9,1,1
2011-01-01,24654,43649720.07,9,9,1,1
2011-01-01,24656,82349711.07,9,9,2,1
2011-01-01,24658,2895950.34,7,7,3,1
2011-01-01,24659,2895950.34,7,7,1,1
2011-01-01,24660,3531050.41,8,8,2,1
2011-01-01,24688,124352724.7,7,7,7,1
2011-01-01,24690,128452658.45,7,7,8,1
2011-01-01,24692,130517188.86,7,7,62,1
2011-01-01,24694,117054715.9,7,7,185,1
2011-01-01,24696,27285114.65,6,6,97,1
2011-01-01,24698,31549702.76,7,7,503,1
2011-01-01,24700,31208544.69,6,6,86,1
2011-01-01,24702,27107833.14,6,6,333,1
2011-01-01,27579,3295835.69,2,2,1,1
2011-01-01,27591,122006240.1,8,8,1,1
2011-01-01,27603,126162145.5,8,8,2,1
2011-01-01,27672,1833552.07,3,3,3,1
2011-01-01,27674,53047091.47,7,7,1,1
2011-01-01,27788,122006240.1,8,8,1,1
2011-01-01,27897,52249718.07,9,9,2,1
2011-01-01,28351,63037779,9,9,2,1
2011-01-01,28352,1209252549.84,14,13,1,0.928571428571429
2011-01-01,28606,407380577.52,7,7,8,1
2011-01-01,28659,689555950.17,11,11,3,1
2011-01-01,28661,616349093.36,11,11,2,1
2011-01-01,28665,768083560.71,11,11,1,1
2011-01-01,28710,673073761.21,11,11,3,1
2011-01-01,28848,978669484.59,12,5,2,0.416666666666667
2011-01-01,28850,975189793.83,12,5,1,0.416666666666667
2011-01-01,29248,228951.71,7,7,32,1
2011-01-01,29337,6426894.04,7,7,1,1
2011-01-01,29340,6528857.82,7,7,1,1
2011-01-01,29344,6669674.72,7,7,1,1
2011-01-01,29984,216400972.4,7,6,47,0.857142857142857
2011-01-01,29986,216400972.4,7,6,8,0.857142857142857
2011-01-01,29988,216400972.4,7,6,5,0.857142857142857
2011-01-01,29990,216400972.4,7,6,15,0.857142857142857
2011-01-01,32226,43649720.07,9,9,11,1
2011-01-01,32250,108866012.15,9,9,7,1
2011-01-01,32307,116002163.17,7,7,1,1
2011-01-01,32311,97743830.83,7,7,1,1
2011-01-01,32458,213432025.3,9,9,2,1
2011-01-02,582,189146.5,6,6,30,1
2011-01-02,583,167266.4,6,6,77,1
2011-01-02,584,195904.29,7,7,19,1
2011-01-02,585,185805.35,6,6,20,1
2011-01-02,586,232355.34,7,7,55,1
2011-01-02,587,255610.73,7,7,338,1
2011-01-02,589,179988.82,6,6,35,1
2011-01-02,590,175772.86,7,7,16,1
2011-01-02,591,236086.9,6,6,13,1
2011-01-02,592,205388.45,6,6,33,1
2011-01-02,593,242358.92,7,7,65,1
2011-01-02,594,207877.53,6,6,69,1
2011-01-02,597,250431.72,6,6,86,1
2011-01-02,598,195402.48,7,7,8,1
2011-01-02,599,209316.64,7,7,6,1
2011-01-02,602,260088.59,6,6,185,1
2011-01-02,603,221275.61,7,7,82,1
2011-01-02,605,233071.52,7,7,72,1
2011-01-02,607,227989.14,7,7,52,1
2011-01-02,608,180197.74,6,6,50,1
2011-01-02,609,160948.96,6,6,4,1
2011-01-02,620,4784103.39,7,7,18,1
2011-01-02,621,6800181.68,7,7,86,1
2011-01-02,622,6248156.18,7,7,39,1
2011-01-02,623,6470365.61,7,7,19,1
2011-01-02,624,6363232.68,7,7,21,1
2011-01-02,625,4672233.27,7,7,1,1
2011-01-02,626,6542727,7,7,80,1
2011-01-02,627,6323382.59,7,7,67,1
2011-01-02,628,5263356.29,7,7,40,1
2011-01-02,629,6386352.93,7,7,98,1
2011-01-02,630,5191048.87,7,7,6,1
2011-01-02,631,4635753.88,7,7,4,1
2011-01-02,632,5517948.86,7,7,41,1
2011-01-02,633,5231550,7,7,12,1
2011-01-02,634,4641049.57,7,7,21,1
2011-01-02,638,106474902.82,7,7,80,1
2011-01-02,639,102534561.29,7,7,79,1
2011-01-02,640,99139139.09,7,7,36,1
2011-01-02,641,103409113.25,7,7,76,1
2011-01-02,642,106813653.11,7,7,94,1
2011-01-02,643,126092689.96,7,7,65,1
2011-01-02,644,98480969.69,7,7,40,1
2011-01-02,645,116800141.46,7,7,82,1
2011-01-02,648,602388.99,7,7,36,1
2011-01-02,649,670345.23,7,7,65,1
2011-01-02,650,537431.07,7,7,14,1
2011-01-02,651,564849.81,7,7,22,1
2011-01-02,652,802408.33,7,7,39,1
2011-01-02,653,512224.58,7,7,10,1
2011-01-02,654,582149.73,7,7,8,1
2011-01-02,655,522565.81,7,7,30,1
2011-01-02,656,567302.29,7,7,17,1
2011-01-02,657,811091.72,7,7,30,1
2011-01-02,671,36359407307.78,15,13,1,0.866666666666667
2011-01-02,672,6222.72,1,1,69,1
2011-01-02,1944,627525.18,7,7,68,1
2011-01-02,2006,6444067.11,7,7,33,1
2011-01-02,2161,211249.94,7,7,32,1
2011-01-02,2998,49025059.38,7,7,39,1
2011-01-02,3766,219040.43,7,7,20,1
2011-01-02,11129,6222.72,1,1,58,1
2011-01-02,11132,6222.72,1,1,31,1
2011-01-02,11134,6222.72,1,1,39,1
2011-01-02,11172,10864079.36,11,11,32,1
2011-01-02,11174,11425779.99,12,12,10,1
2011-01-02,11176,10496388.61,12,12,70,1
2011-01-02,11178,10502388.61,12,12,17,1
2011-01-02,11182,11603719.92,11,11,41,1
2011-01-02,11184,10625781.2,12,12,34,1
2011-01-02,11186,10637781.2,12,12,23,1
2011-01-02,11188,10608194.11,11,11,35,1
2011-01-02,11190,11371039.76,11,11,11,1
2011-01-02,11192,10563701.56,11,11,50,1
2011-01-02,11194,11426739.65,11,11,7,1
2011-01-02,11196,11550006.11,12,12,12,1
2011-01-02,11198,11564187.27,12,12,76,1
2011-01-02,11200,10198992.86,12,12,72,1
2011-01-02,11202,10198992.86,12,12,41,1
2011-01-02,11365,13851437.89,12,12,28,1
2011-01-02,11371,15438010.96,11,11,52,1
2011-01-02,11377,11379839.25,11,11,83,1
2011-01-02,11379,13863719.42,11,11,33,1
2011-01-02,11381,14623118.93,11,11,16,1
2011-01-02,11387,12451888.78,11,11,4,1
2011-01-02,11393,14494826.15,12,12,22,1
2011-01-02,11400,14811196.33,11,11,56,1
2011-01-02,11957,102232367.82,11,11,48,1
2011-01-02,11959,102274066.53,11,11,12,1
2011-01-02,11961,110223023.23,11,11,14,1
2011-01-02,11963,110145029.5,11,11,65,1
2011-01-02,11965,103063569.21,11,11,25,1
2011-01-02,11969,103149513.7,11,11,48,1
2011-01-02,11971,103194498.61,11,11,12,1
2011-01-02,11978,108400478.61,11,11,44,1
2011-01-02,11985,100986843.91,11,11,14,1
2011-01-02,11987,100369127.54,11,11,19,1
2011-01-02,11989,101662955.17,11,11,11,1
2011-01-02,11993,107036607.9,11,11,25,1
2011-01-02,11995,164794975.53,11,11,18,1
2011-01-02,11999,114359381.49,11,11,101,1
2011-01-02,12003,108474420.22,11,11,36,1
2011-01-02,12005,103376629.15,11,11,43,1
2011-01-02,12011,112074479.24,11,11,6,1
2011-01-02,12013,173617437.51,11,11,11,1
2011-01-02,12015,118853207.48,11,11,15,1
2011-01-02,12017,164716113.51,11,11,8,1
2011-01-02,12019,113248308.36,11,11,15,1
2011-01-02,12021,163827708.1,11,11,9,1
2011-01-02,12023,107279878.73,11,11,14,1
2011-01-02,12032,11204606.51,12,12,141,1
2011-01-02,12034,12176306.66,11,11,123,1
2011-01-02,12038,11207266.32,11,11,67,1
2011-01-02,12042,13992658.12,12,12,51,1
2011-01-02,12044,13161543.33,12,12,21,1
2011-01-02,12235,181376303.52,9,9,5,1
2011-01-02,12237,10733634.59,6,6,5,1
2011-01-02,12239,21705407.13,7,7,1,1
2011-01-02,12729,66597277.2,11,11,9,1
2011-01-02,12731,104406880.9,11,11,4,1
2011-01-02,12733,67122560.58,11,11,4,1
2011-01-02,12735,71132672.89,11,11,10,1
2011-01-02,12743,66427666.79,11,11,24,1
2011-01-02,12745,102694422.8,11,11,2,1
2011-01-02,12747,110979458.1,11,11,1,1
2011-01-02,12753,104852208.55,11,11,1,1
2011-01-02,14343,2682522.08,5,5,6,1
2011-01-02,16213,181376303.52,9,9,1,1
2011-01-02,16214,181376303.52,9,9,2,1
2011-01-02,16216,44496713.42,9,9,2,1
2011-01-02,16220,21089851.85,10,10,2,1
2011-01-02,16221,10949580.95,5,5,6,1
2011-01-02,16227,31722538.42,7,7,24,1
2011-01-02,16229,30541103.98,6,6,59,1
2011-01-02,16231,27862867.75,6,6,63,1
2011-01-02,16233,27137988.15,6,6,19,1
2011-01-02,16236,600155.39,6,6,40,1
2011-01-02,16238,667587.41,7,7,58,1
2011-01-02,16240,633220.96,6,6,76,1
2011-01-02,16242,515112.17,6,6,163,1
2011-01-02,16631,760499,2,2,13,1
2011-01-02,16688,1681011.84,3,3,22,1
2011-01-02,16689,4794792.21,4,4,10,1
2011-01-02,16690,747000,2,2,5,1
2011-01-02,16691,1680009.14,3,3,7,1
2011-01-02,16694,4732927.09,4,4,2,1
2011-01-02,17167,745100,2,2,14,1
2011-01-02,17168,1671471.44,3,3,26,1
2011-01-02,17174,1841516.1,3,3,7,1
2011-01-02,17175,1828878.1,3,3,5,1
2011-01-02,17176,1828071.16,3,3,8,1
2011-01-02,17177,1829381.1,3,3,8,1
2011-01-02,17178,1832243.12,3,3,8,1
2011-01-02,17180,1849378.11,3,3,1,1
2011-01-02,17181,1839249.12,3,3,9,1
2011-01-02,17182,1843253.1,3,3,4,1
2011-01-02,17184,2306436.52,4,4,2,1
2011-01-02,17185,2511437.51,4,4,5,1
2011-01-02,17186,2511437.53,4,4,3,1
2011-01-02,17402,2943764.32,4,4,2,1
2011-01-02,17407,1654901.11,3,3,20,1
2011-01-02,17408,742501.19,2,2,14,1
2011-01-02,17476,17124296.53,7,7,16,1
2011-01-02,17478,14555511.61,7,7,51,1
2011-01-02,17480,11987136.66,7,7,4,1
2011-01-02,17619,236373.51,7,7,15,1
2011-01-02,17621,2561514.48,6,6,12,1
2011-01-02,17634,6681842.07,7,7,3,1
2011-01-02,17636,106474902.82,7,7,2,1
2011-01-02,17703,232473.16,7,7,15,1
2011-01-02,17709,6528402.19,7,7,3,1
2011-01-02,17713,6594358.62,7,7,15,1
2011-01-02,17715,6225336.8,7,7,4,1
2011-01-02,17718,6225336.8,7,7,9,1
2011-01-02,17720,6225336.8,7,7,20,1
2011-01-02,17722,6225336.8,7,7,4,1
2011-01-02,17728,106033115.08,7,7,3,1
2011-01-02,17736,84542403.64,7,7,2,1
2011-01-02,17738,84542403.64,7,7,5,1
2011-01-02,17770,2939896.54,4,4,14,1
2011-01-02,17771,1634468.56,3,3,13,1
2011-01-02,17772,741012.03,2,2,3,1
2011-01-02,17812,234305.18,7,7,13,1
2011-01-02,17841,257606.21,7,7,20,1
2011-01-02,17843,6521867.59,7,7,1,1
2011-01-02,17918,84542403.64,7,7,1,1
2011-01-02,17920,86111380.45,7,7,1,1
2011-01-02,17922,6602991.34,7,7,3,1
2011-01-02,17924,251807.51,6,6,2,1
2011-01-02,17926,251807.51,6,6,2,1
2011-01-02,17928,246090.19,7,7,9,1
2011-01-02,17930,223778.53,7,7,2,1
2011-01-02,17932,245946.01,7,7,85,1
2011-01-02,19720,1424699797.36,11,11,2,1
2011-01-02,19722,1407982035.36,11,11,3,1
2011-01-02,19724,1459286656.5,11,11,4,1
2011-01-02,19744,624826.74,7,7,13,1
2011-01-02,20059,90347795.39,9,9,1,1
2011-01-02,20060,41881010.06,9,9,1,1
2011-01-02,20061,90347795.39,9,9,1,1
2011-01-02,20062,41881010.06,9,9,1,1
2011-01-02,20064,41881010.06,9,9,1,1
2011-01-02,20065,90347795.39,9,9,1,1
2011-01-02,20066,41881010.06,9,9,5,1
2011-01-02,20125,103123366.17,11,11,41,1
2011-01-02,20187,807379091.11,4,4,1,1
2011-01-02,20189,819097071.1,4,4,2,1
2011-01-02,22428,493862342.7,12,12,1,1
2011-01-02,22430,475808585.93,12,12,1,1
2011-01-02,22436,493896346.7,12,12,2,1
2011-01-02,22442,196110194.99,11,11,1,1
2011-01-02,22444,206929601.82,11,11,16,1
2011-01-02,22446,194009479.54,11,11,6,1
2011-01-02,22448,198041023.99,11,11,7,1
2011-01-02,22452,27839856.95,11,11,38,1
2011-01-02,22456,29864618.64,11,11,98,1
2011-01-02,22460,27397504.37,11,11,19,1
2011-01-02,22464,28107322.52,11,11,32,1
2011-01-02,22466,183631914.92,11,11,4,1
2011-01-02,22468,205267011.01,11,11,8,1
2011-01-02,22470,201516562.86,11,11,17,1
2011-01-02,22474,194061579.24,11,11,6,1
2011-01-02,22544,151215742.41,11,11,67,1
2011-01-02,22548,119650527.42,11,11,11,1
2011-01-02,23757,705481617.62,12,12,2,1
2011-01-02,23911,791415866.58,12,12,3,1
2011-01-02,23915,677871200.23,12,12,2,1
2011-01-02,24483,724679530.78,12,12,2,1
2011-01-02,24655,44496713.42,9,9,2,1
2011-01-02,24656,83196713.33,9,9,1,1
2011-01-02,24659,2912283.66,7,7,1,1
2011-01-02,24684,7728655.66,9,9,1,1
2011-01-02,24688,125092064.4,7,7,14,1
2011-01-02,24690,129288679.4,7,7,13,1
2011-01-02,24692,131394792.15,7,7,71,1
2011-01-02,24694,117702210.01,7,7,231,1
2011-01-02,24696,27645174.06,6,6,160,1
2011-01-02,24698,31616742.38,7,7,815,1
2011-01-02,24700,31295443.93,6,6,110,1
2011-01-02,24702,27513042.71,6,6,448,1
2011-01-02,25270,3849608.77,5,5,1,1
2011-01-02,25280,4995600.02,5,5,2,1
2011-01-02,25821,1557626.27,5,5,2,1
2011-01-02,27579,3334069.94,2,2,3,1
2011-01-02,27585,2672321.18,2,2,2,1
2011-01-02,27606,59467010.13,8,8,1,1
2011-01-02,27672,1926687.21,3,3,11,1
2011-01-02,28351,64143429.24,9,9,4,1
2011-01-02,28352,1470746384.19,14,14,1,1
2011-01-02,28606,412224115.1,7,7,7,1
2011-01-02,28659,687175454.45,11,11,3,1
2011-01-02,28661,623324447.76,11,11,3,1
2011-01-02,28665,715026719.07,11,11,2,1
2011-01-02,28710,665627237.84,11,11,5,1
2011-01-02,28844,1277729895.06,12,6,1,0.5
2011-01-02,29248,230835.13,7,7,42,1
2011-01-02,29984,263093984.36,7,7,37,1
2011-01-02,29986,263093984.36,7,7,15,1
2011-01-02,29988,263093984.36,7,7,19,1
2011-01-02,29990,263093984.36,7,7,21,1
2011-01-02,30842,6222.72,1,1,1,1
2011-01-02,32226,44496713.42,9,9,6,1
2011-01-02,32250,110884243.28,9,9,18,1
2011-01-02,32305,126092689.96,7,7,1,1
2011-01-02,32307,116800141.46,7,7,3,1
2011-01-02,32309,99139139.09,7,7,2,1
2011-01-02,32311,98480969.69,7,7,3,1
2011-01-02,32458,217468486.57,9,9,3,1
2011-01-03,582,189130.2,6,6,13,1
2011-01-03,583,167202.19,6,6,55,1
2011-01-03,584,196782.4,7,7,19,1
2011-01-03,585,187220.1,6,6,17,1
2011-01-03,586,233505.02,7,7,64,1
2011-01-03,587,257285.81,7,7,325,1
2011-01-03,589,180854.55,6,6,45,1
2011-01-03,590,176258.65,7,7,8,1
2011-01-03,591,236593.37,6,6,6,1
2011-01-03,592,205780.72,6,6,31,1
2011-01-03,593,243350.04,7,7,29,1
2011-01-03,594,208396.89,6,6,56,1
2011-01-03,597,251509.66,6,6,88,1
2011-01-03,598,195843.37,7,7,5,1
2011-01-03,599,209563.99,7,7,9,1
2011-01-03,602,260089.18,6,6,163,1
2011-01-03,603,221121.21,7,7,95,1
2011-01-03,605,233572.26,7,7,49,1
2011-01-03,607,228679.11,7,7,36,1
2011-01-03,608,180918.91,6,6,45,1
2011-01-03,609,161410.05,6,6,5,1
2011-01-03,620,4801157,7,7,16,1
2011-01-03,621,6832017.42,7,7,100,1
2011-01-03,622,6279275.31,7,7,61,1
2011-01-03,623,6498315.35,7,7,20,1
2011-01-03,624,6390505.82,7,7,20,1
2011-01-03,625,4688575.64,7,7,4,1
2011-01-03,626,6573147.98,7,7,67,1
2011-01-03,627,6356055.77,7,7,99,1
2011-01-03,628,5285705.25,7,7,54,1
2011-01-03,629,6412794.38,7,7,122,1
2011-01-03,630,5213962.24,7,7,7,1
2011-01-03,631,4649209.54,7,7,2,1
2011-01-03,632,5540459.2,7,7,70,1
2011-01-03,633,5251493.79,7,7,12,1
2011-01-03,634,4652423.6,7,7,17,1
2011-01-03,638,106911568.43,7,7,77,1
2011-01-03,639,102968799.44,7,7,62,1
2011-01-03,640,99496117.09,7,7,36,1
2011-01-03,641,103839425.22,7,7,56,1
2011-01-03,642,107248838.82,7,7,33,1
2011-01-03,643,126545404.48,7,7,46,1
2011-01-03,644,98857719.85,7,7,36,1
2011-01-03,645,117266640.38,7,7,90,1
2011-01-03,648,605484.05,7,7,33,1
2011-01-03,649,673283.52,7,7,42,1
2011-01-03,650,540645.59,7,7,9,1
2011-01-03,651,567594.71,7,7,24,1
2011-01-03,652,806434.49,7,7,31,1
2011-01-03,653,514048.42,7,7,11,1
2011-01-03,654,584672.39,7,7,6,1
2011-01-03,655,525126.28,7,7,25,1
2011-01-03,656,570127.15,7,7,17,1
2011-01-03,657,814810.09,7,7,40,1
2011-01-03,672,6250.5,1,1,39,1
2011-01-03,1944,630163.21,7,7,58,1
