war_name,window,baseline_type,baseline_periods_available,baseline_avg_ratio,war_periods_available,war_avg_ratio,war_peak_ratio,ratio_increase_vs_baseline,pct_periods_above_threshold
Fountain War,a,pre_war,84,1.02899739530662,153,0.953807672574826,3.05866857488822,0.926929141828013,0.0065359477124183
Bloodbath of B-R5RB,a,pre_war,84,0.997293435059004,1,4.25845105155617,4.25845105155617,4.27000810579308,1
World War Bee II (Casino War),b,pre_war,84,0.952272375794766,427,1.11147942127746,4.99074613232657,1.16718645791843,0.0772833723653396
Massacre at M2-XFE,b,war_own_average,427,1.11147942127746,2,3.08847820848697,4.99074613232657,2.77870930344107,0.5
