ship_type_id,total_losses,type_name
366690,60,Caldari Heavy Frame C/1-Series
367963,59,Republic 'Renegade' Commando
617,58,Echo
351253,58,Methana
364821,58,Minmatar Heavy Frame M-I
367600,58,APEX 'Dominus' Sentinel
364863,57,Minmatar Light Frame M/1-Series
365320,57,'Neo' Assault gk.0
366366,57,Federation Logistics G-I
366420,57,Imperial Logistics ak.0
34339,56,Moros Interbus Edition
365263,56,Commando ak.0
366383,54,Federation Madrugar
366421,54,Imperial Sentinel A-I
368547,54,'Quafe' Methana Blueprint
364811,52,Caldari Light Frame C-I
365326,52,'Neo' Scout mk.0
366494,52,State Logistics ck.0
351252,51,Saga
366369,51,Federation Scout G-I
368881,50,Madrugar G/1
34341,49,Naglfar Justice Edition
365308,49,'Neo' Logistics ak.0
366446,49,Republic Logistics M-I
367687,49,APEX 'Spartan' Assault
615,48,Immolator
356073,47,'HC-130' Gunnlogi
356110,46,'Sever' Sentinel A-I
364882,45,Amarr Medium Frame ak.0
365976,45,'Neo' Scout ck.0
365932,44,'Remnant IX' Logistics mk.0
366363,44,Federation Assault G-I
367959,44,Imperial 'Seraph' Logistics
364876,43,Minmatar Medium Frame mk.0
365317,43,'Neo' Assault ak.0
365323,43,'Neo' Assault mk.0
368647,43,Republic Commando mk.0
356023,42,'Eon' Militia Amarr Heavy Frame
356114,41,'Sever' Scout G-I
355771,40,'Skinweave' Militia Amarr Heavy Frame
366339,40,'Republic Command' Assault mk.0
367691,39,APEX 'Opus' Assault
367703,38,APEX 'Serpent' Scout
34345,37,Revelation Sarum Edition
355768,36,'Skinweave' Militia Minmatar Medium Frame
366447,36,Republic Logistics M/1-Series
33081,35,Taipan
356040,35,'Valor' Scout G-I
356072,35,'AI-102' Madrugar
364097,35,'Hunter' Scout G-I
364810,34,Amarr Light Frame A-I
367456,34,'Jotunn' Sentinel M-I+
368026,34,State 'Samurai' Commando
366449,33,Republic Scout M-I
364172,32,CreoDron Breach HAV
365299,32,'Neo' Commando ak.0
366343,31,'Federal Marine' Assault gk.0
366367,31,Federation Logistics G/1-Series
366415,31,Imperial Commando A-I
366718,31,'Neo' Commando ck.0
367689,31,APEX 'Nomad' Assault
367988,31,APEX 'Nomad' Assault vX.1
364874,30,Gallente Light Frame gk.0
356623,29,'Neo' Sentinel A/1-Series
366370,29,Federation Scout G/1-Series
366443,29,Republic Assault M-I
366337,28,'State Peacekeeper' Assault ck.0
366444,28,Republic Assault M/1-Series
366716,28,'Neo' Commando C-I
366719,28,'Neo' Commando G-I
33079,27,Hematos
356022,27,'Fossil' Militia Minmatar Medium Frame
356626,27,'Neo' Logistics M/1-Series
364171,27,Kaalakiota Tactical HAV
367655,27,'Quafe' Assault M-I
364098,26,Shock Assault
365936,26,'Rattati' Assault G/1-Series
366734,26,Caldari Light Frame C/1-Series
365318,25,'Neo' Assault G-I
366364,25,Federation Assault G/1-Series
366508,25,State Gunnlogi
367443,25,'Ukko' Assault C-I+
367705,25,APEX 'Tiger' Scout
368069,25,'Kullervo' Basic-M C-I
368617,25,State Commando ck.0
356075,24,'LC-217' Saga
366489,24,State Assault C-I
366722,24,'Neo' Commando M-I
367455,24,'Izanami' Sentinel C-I+
366721,23,'Neo' Commando gk.0
366732,23,Amarr Light Frame A/1-Series
367453,23,'Behemoth' Sentinel A-I+
367653,23,'Quafe' Assault G-I
367681,23,APEX 'Warlord' Sentinel
368000,23,State 'Kampo' Logistics
365297,22,'Neo' Commando A-I
367711,22,APEX 'Centurion' Commando
367760,22,Rattati's Modified Assault gk.0
367885,22,Storm Raider's Modified Commando ak.0
368003,22,Imperial 'Paladin' Commando
368911,22,Recon - CA
366412,21,Imperial Assault A-I
366490,21,State Logistics C-I
366687,21,Gallente Heavy Frame gk.0
368888,21,Gunnlogi C/1
365942,20,'Tigris' Sentinel A-I
366418,20,Imperial Logistics A-I
367457,20,'Enkidu' Sentinel G-I+
368066,20,'Grettir' Basic-M M-I
368546,20,'Quafe' Saga Blueprint
365928,19,'Flying Scotsman' Assault ck.0
366341,19,'Imperial Guard' Assault ak.0
367742,19,Scotsman's Modified Scout gk.0
368651,19,Republic Sentinel mk.0
33083,18,Violator
365321,18,'Neo' Assault M-I
367450,18,'Magni' Assault M-I+
367654,18,'Quafe' Assault A-I
368001,18,Imperial 'Dragon' Scout
368061,18,'Hastati' Basic-M A-I
368909,18,Recon - AM
34343,17,Phoenix Wiyrkomi Edition
34443,17,Tristan Quafe Edition
355720,17,'Skinweave' Militia Caldari Medium Frame
364247,17,Kaalakiota Recon Dropship
366422,17,Imperial Sentinel A/1-Series
367442,17,'Sarak' Assault A-I+
367738,17,Frame's Modified Assault ck.0
368064,17,'Toxotai' Basic-M G-I
368908,17,Shield AV - AM
368913,17,Recon - GA
368915,17,Recon - MN
17701,16,Tracking Array
356107,16,'Sever' Assault C-I
365319,16,'Neo' Assault G/1-Series
366413,16,Imperial Assault A/1-Series
367451,16,'Memnon' Assault G-I+
367685,16,APEX 'Rasetsu' Assault
367695,16,APEX 'Chiron' Logistics
367699,16,APEX 'Seraph' Logistics
355767,15,'Skinweave' Militia Gallente Light Frame
364317,15,Staff Recruiter Militia Frame
365934,15,'Wolfman' Assault A/1-Series
366338,15,'Republic Command' Assault M/1-Series
366346,15,'Stahl' Assault C-I
366419,15,Imperial Logistics A/1-Series
366689,15,Minmatar Heavy Frame mk.0
367652,15,'Quafe' Sentinel M-I
367716,15,Archduke's Modified Sentinel mk.0
365704,14,'Pyrus' Assault C/1-Series
366450,14,Republic Scout M/1-Series
366491,14,State Assault C/1-Series
367634,14,'Quafe' Sentinel G-I
367751,14,Logibro's Modified Logistics mk.0
368067,14,'Kari' Basic-M M/I
368582,14,'Kaalakiota' Assault C-I
368910,14,Shield AV - CA
356058,13,'Quafe' Assault ck.0
356065,13,'Quafe' Scout gk.0
365313,13,'Neo' Logistics C/1-Series
365428,13,Saga-II
365701,13,'Pyrus' Assault A/1-Series
367658,13,'Quafe' Scout M-I
356069,12,'CD-41' Myron
356625,12,'Neo' Sentinel A-I
368025,12,State 'Hawk' Scout
368614,12,State Scout ck.0
368912,12,Shield AV - GA
369419,12,Standard Logistics M-I
3628,11,Nation
364243,11,State Protectorate Assault C-I
365309,11,'Neo' Logistics G-I
365940,11,'Foxfour' Assault G-I
366336,11,'State Peacekeeper' Assault C/1-Series
366342,11,'Federal Marine' Assault G/1-Series
366679,11,'Neo' Sentinel mk.0
367811,11,State 'Shogun' Sentinel
367948,11,Federation 'Atlas' Sentinel
355424,10,Baloch - Impact
356068,10,'AG-01' Grimsnes
356628,10,'Neo' Logistics M-I
364242,10,Federal Defense Union Scout G-I
365310,10,'Neo' Logistics G/1-Series
365973,10,'Neo' Scout ak.0
367989,10,APEX 'Dragon' Scout vX.1
368062,10,'Principe' Basic-M A/I
368581,10,'Brutor' Commando M-I
368636,10,Federation Sentinel gk.0
368884,10,Marduk G/1
368889,10,Gunnlogi Cv.0
369416,10,Standard Logistics A-I
369422,10,Standard Scout G-I
365943,9,'Praetorian VII' Madrugar
365974,9,'Neo' Scout C-I
366417,9,Imperial Commando ak.0
368065,9,'Phalanx' Basic-M G/I
368071,9,'Tarapitha' Basic-M C/I
368633,9,Federation Commando gk.0
368887,9,Gladius C-I
369414,9,Standard Commando G-I
34445,8,Vexor Quafe Edition
365298,8,'Neo' Commando A/1-Series
365723,8,'Pyrus' Logistics mk.0
365938,8,'Logicloop' Scout M-I
366677,8,'Neo' Sentinel M-I
366683,8,'Neo' Sentinel C-I
366691,8,Caldari Heavy Frame ck.0
367677,8,APEX 'Shogun' Sentinel
367713,8,APEX 'Renegade' Commando
368880,8,Marduk G-I
369424,8,Standard Sentinel A-I
34118,7,Megathron Quafe Edition
356053,7,'Quafe' Assault C-I
356109,7,'Raven' Sentinel A-I
363354,7,Angel Cartel Saga
364872,7,Minmatar Light Frame mk.0
365315,7,'Neo' Assault A-I
365721,7,'Pyrus' Logistics M-I
368579,7,Imperial Scout ak.0
