week_start,baseline_ratio,adjusted_ratio
2011-01-01,,
2011-01-08,,
2011-01-15,,
2011-01-22,,
2011-01-29,,
2011-02-05,,
2011-02-12,,
2011-02-19,,
2011-02-26,,
2011-03-05,,
2011-03-12,,
2011-03-19,,
2011-03-26,1.94859529798283,1.99808762676585
2011-04-02,2.5669376991281,2.6326357335111
2011-04-09,1.55371121988319,1.56299575880704
2011-04-16,1.47739978523555,1.49806511163586
2011-04-23,1.28866954491069,1.30433771903537
2011-04-30,0.348851366586752,0.330090797703746
2011-05-07,0.499273956842982,0.486829869039218
2011-05-14,0.477431546880375,0.458078696567251
2011-05-21,0.83247345400414,0.821591935932615
2011-05-28,0.886842802562377,0.894430074770445
2011-06-04,0.485927271740288,0.466104020416208
2011-06-11,0.654283226237219,0.649907952485208
2011-06-18,0.596418052454548,0.589973504368829
2011-06-25,0.768723214987382,0.771988860352577
2011-07-02,0.6834860111698,0.684793759659315
2011-07-09,0.512904669036273,0.491375548279609
2011-07-16,0.953852087123994,0.948386368971529
2011-07-23,0.95330628312914,0.970303343669056
2011-07-30,0.695515270055165,0.704807111129803
2011-08-06,0.974807208668226,0.975521791941856
2011-08-13,0.782196525155645,0.777560916471104
2011-08-20,0.935763651585784,0.911530856607929
2011-08-27,0.976635667059977,0.986480045283156
2011-09-03,1.38145206670445,1.3466138531115
2011-09-10,2.08565043840554,2.08620083176352
2011-09-17,1.61922663456376,1.64672259168311
2011-09-24,1.87751350718524,1.91031217684781
2011-10-01,0.923127579421814,0.921280961122113
2011-10-08,0.79696347234682,0.797368134521179
2011-10-15,0.962484169255898,0.981033729742232
2011-10-22,0.754321185074224,0.762904652872181
2011-10-29,0.593480719351909,0.589121862366732
2011-11-05,0.687044691222681,0.6920265618258
2011-11-12,1.03043579749481,1.05141517917098
2011-11-19,0.679644974363535,0.644885226833983
2011-11-26,0.632696656200057,0.609944461336482
2011-12-03,0.728901445187334,0.71894716616622
2011-12-10,0.7912080723181,0.772804962788842
2011-12-17,1.06966786168658,1.03058711362614
2011-12-24,0.956383509858819,0.948341252620299
2011-12-31,1.03598352280203,0.998113638162895
2012-01-07,1.54318096311124,1.51678062246756
2012-01-14,1.0362178697091,1.01274812701302
2012-01-21,1.4337965743664,1.44377735832307
2012-01-28,1.3650312545178,1.35201683234173
2012-02-04,1.44533950204967,1.45880812465596
2012-02-11,1.07216079073417,1.0503207047733
2012-02-18,1.19980752764963,1.20064083614799
2012-02-25,1.42766634854972,1.44637542026327
2012-03-03,0.883466667929547,0.876742323678372
2012-03-10,1.83131210660272,1.87269936184174
2012-03-17,1.52381749219525,1.56077857702446
2012-03-24,1.45656746996069,1.49390858365545
2012-03-31,1.00772602755515,1.01681170126629
2012-04-07,1.06667519586796,1.05441361934711
2012-04-14,1.10194491058415,1.09804882946155
2012-04-21,0.771975984410689,0.750037251149255
2012-04-28,0.759701438016134,0.715989576161883
2012-05-05,0.880400144567825,0.867682019431875
2012-05-12,0.660996622528735,0.653741267549194
2012-05-19,0.81714183806731,0.805534884057696
2012-05-26,0.815865629628193,0.785124697937456
2012-06-02,0.902255377996931,0.901179589912893
2012-06-09,0.847363417487546,0.867788212534574
2012-06-16,0.61021637437086,0.602528688155549
2012-06-23,0.749571452282407,0.765088065409978
2012-06-30,0.716441865721718,0.699621209744853
2012-07-07,0.839016811259542,0.853101734583774
2012-07-14,0.872593487153672,0.859955256249511
2012-07-21,0.88629190999876,0.889611106723032
2012-07-28,0.884881250195684,0.849022512676809
2012-08-04,0.925138327906326,0.905918372708605
2012-08-11,1.00572445108691,1.00215522977845
2012-08-18,1.35337356165531,1.35589357091735
2012-08-25,1.0226593350465,1.01217485933906
2012-09-01,0.908186184994353,0.907395611450587
2012-09-08,1.00717695097462,0.948508180655221
2012-09-15,4.4401353596589,4.72190148283382
2012-09-22,3.44385990076987,3.61110339415452
2012-09-29,2.88658816552761,3.00274196999917
2012-10-06,3.53563858218158,3.64648526441896
2012-10-13,2.90507425572802,2.97316646394132
2012-10-20,2.51488660268413,2.57253074184864
2012-10-27,1.56087386256774,1.57437429888213
2012-11-03,1.95371260058437,1.97804860711244
2012-11-10,1.9892213654509,2.01224796053037
2012-11-17,2.11818978287026,2.13781832297489
2012-11-24,0.845182099734106,0.844473356348334
2012-12-01,0.323957137640324,0.306333713468482
2012-12-08,0.247937898876448,0.23449905456071
2012-12-15,0.295242100503098,0.279394081840106
2012-12-22,0.211500624198002,0.192312168417576
2012-12-29,0.294050389568523,0.280381176277611
2013-01-05,0.365555576041319,0.347637267623363
