war_name,days_available,avg_modeled_baseline_payout,avg_modeled_adjusted_payout,avg_real_mer_net
World War Bee II (Casino War),426,231579082840.051,217787783520.342,99121634798
Massacre at M2-XFE,2,544715289558.08,537486900328.668,426715848439
